IATA,LATITUDE,LONGITUDE
FOD,42.4974694,-94.16801579999998
PVU,40.2181824606,-111.720680451
ATY,43.988496046,-76.019666588
EAR,40.722830442,-99.003999984
SWO,36.15666604,-97.084666328
IAG,43.104332916,-78.940996236
DDC,37.7634,-99.9656
SBY,38.337665316,-75.506164642
OGS,44.67583063,-75.459331496
VCT,28.851496594,-96.917829662
LBF,41.122332844,-100.683497266
SLN,38.787830182,-97.651330728
TBN,37.73833038,-92.137832782
RIW,43.058499766,-108.45583151
HGR,39.705163846,-77.72249711
PUW,46.739663708,-117.105666244
PQI,46.68666392,-68.040166506
OGD,41.1908825698,-112.007299971
HHH,32.221332448,-80.691830566
ALS,37.434331596,-105.8666632
BIH,37.370498518,-118.358165234
PBG,44.650497398,-73.46749813
PSM,43.073499706,-70.820663384
PAE,47.903663052,-122.275498898
CGI,37.221832446,-89.56916439
SCK,37.889829774,-121.236332388
USA,35.385998456,-80.705497178
BKG,36.52583123,-93.200332532
PRC,34.654444,-112.419611
SFB,28.77333024,-81.23583239
BFF,41.870996516,-103.590664304
EAT,47.392165098,-120.203499186
YKM,46.56749773,-120.539831174
AZA,33.304665448,-111.65333072
DEC,39.833996664,-88.859329896
MCW,43.154666048,-93.325498698
LCK,39.8083301,-82.92332964
ECP,30.3417,-85.7973
LBE,40.271498914,-79.403998384
LBL,37.039833174,-100.955996176
PGV,35.634497462,-77.384498462
XWA,48.2597222222,-103.7505555556
BLV,38.54504,-89.8369
CKB,39.291332168,-80.223499106
JST,40.309665428,-78.833663332
ALW,46.090166306,-118.28666552
OWB,37.73666372,-87.166832666
STS,38.505331312,-122.807663436
PGD,26.918496326,-81.987662716
SHR,44.768163594,-106.974829434
LNY,20.784663528,-156.95082953
CDB,55.203665852,-162.721997112
MKK,21.15166606,-157.091166302
HVN,41.2583323,-72.885329792
IPT,41.238499046,-76.919329656
JHM,20.957829502,-156.670497318
UIN,39.9391629,-91.18999924
BFM,30.622664176,-88.06749973
DUT,53.8999964,-166.539497842
ROP,14.171332648,145.238832378
YNG,41.256498974,-80.67416397
